"R2-120;UNION FENOSA COMERCIAL, S.L.;AVDA. DE SAN LUIS, 77;28033;MADRID;Madrid;;N;B82207275;;30/05/2013;;Baja"
"R2-124;J.P. MORGAN ENERGY EUROPE ESPAÑA, S.L.U.;C/ VELAZQUEZ Nº 53, 2º Izq;28001;MADRID;Madrid;;;B62139274;;20/08/2014;;Baja"
"R2-132;ELECTRA ALTO MIÑO COMERCIALIZADORA DE ENERGÍA, SLU;POLÍGONO INDUSTRIAL CHAN DA PONTE S/N PARCELA 19;36450;SALVATERRA DE MIÑO;Pontevedra;900 103 244;N;B36878510;;;www.eamsalvaterra.com;"
"R2-140;GAS NATURAL COMERCIALIZADORA SA;AVDA. DE AMERICA, 38-5ª PLANTA;28028;MADRID;Madrid;900 100 264;N;A61797536;;;www.gasnaturalcomercializadora.com;"
"R2-141;GAS NATURAL ELECTRICIDAD SDG, S.A.;AVDA.  DE AMERICA, 38, 1ª PLANTA;28028;BARCELONA;Barcelona;;;A61713301;;05/12/2012;;Baja"
"R2-142;NATURGY IBERIA, S.A.;AVDA. SAN LUIS, 77;28033;MADRID;Madrid;900 100 251;N;A08431090;;;www.naturgy.es;"
"R2-143;SHELL ESPAÑA, S.A;RIO BULLAQUE, 2;28034;MADRID;Madrid;900 12 16 20;P;A28013522;;;www.shell.es;"
"R2-154;NAVARRO GENERACIÓN S.A;Pº SAN FRANCISCO DE SALES, 31;28003;MADRID;Madrid;900 103 326;;A82683434;;27/02/2017;www.navarrosic.com;Baja"
"R2-155;EPRESA ENERGÍA S.A.;C/ CARRETAS, 5;11510;PUERTO REAL;Cádiz;900 814 112;P;A11508629;;;https://epresaenergia.es/;"
"R2-156;EDP ESPAÑA, S.A;PLAZA DE LA GESTA, Nº2;33007;OVIEDO;Asturias;;N;A33473752;17/04/2009;;www.edpenergia.es/es/;"
"R2-161;NEXUS ENERGIA SA;C/ PLAYA DE RIAZOR, 12, OFICINA 1.5;28042;MADRID;Madrid;900 818 533;N;A62332580;;;www.nexusenergia.com;"
"R2-163;HIDROELECTRICA EL CARMEN SL;;;;;;;B80765951;;08/09/2012;;Baja"
"R2-164;BP GAS EUROPE SA;AVENIDA DE BARAJAS, 30 P. EMPRESADILA OMEGA EDIF.;28108;ALCOBENDAS;MADRID;;P, GC, TF, FL, PA, LG, HI, SB;A82422031;03/12/2018;;;"
"R2-166;ROMERO ABREU HERMANOS, S.L.;PL. JOSÉ MANUEL GARCIA CAPARROS, Nº 11;11140;CONIL DE LA FRONTERA;Cádiz;;;B11000783;;18/03/2013;;Baja"
"R2-174;AGRI-ENERGIA, S.A.;CARRER GIRONA, 155;17820;BANYOLES;Gerona;900 727 272;P;A17000837;;;www.agrienergia.com;"
"R2-182;EDP COMERCIALIZADORA, S.A.;C/ GENERAL CONCHA Nº20;48010;BILBAO;Vizcaya;900 902 930;N;A95000295;18/10/2001;;www.edpenergia.es;"
"R2-194;ELÉCTRICA CATRALENSE, SLU;C/ SAN EMIGDIO, 2;03158;CATRAL;Alicante;900 101 489;N;B53485140;;;www.cooperativaelectricacatral.es;"
"R2-204;ELECTRICA CALLOSINA, S.L.;C/ RAMBLA ALTA, Nº7;03360;CALLOSA DE SEGURA;Alicante;;;B53480547;;07/02/2012;;Baja"
"R2-215;ELECTRICA DE ALBATERENSE, S.L;C/ PASCUAL CÁNOVAS, 41;03340;ALBATERA;Alicante;900 907 691;N;B53482774;;;www.electricalbaterense.es;"
"R2-216;FLUID ELECTRIC CAMPRODON II, S.L;C/ BASTIMENTS Nº1;17867;CAMPRODON;Gerona;900 10 22 80;CAMPRODON LLANARS (GE);B17652694;;;;"
"R2-221;GLOBAL3 ENERGIA COMERCIALIZADORA, S.L.U.;C/ VALLCALENT, 1 6º D;25006;LERIDA;Lérida;;;B25378779;;21/09/2005;;Baja"
"R2-222;ELECTRADISTRIBUCIÓN CENTELLES, S.L. UNIPERSONAL;;;;;;;B62418983;06/10/2001;31/12/2014;;Baja"
"R2-222;ELECTRACOMERCIAL CENTELLES, S.L.UNIPERSONAL;AV. ESCOLES, 1;08540;CENTELLES;Barcelona;900 10 11 78;P;B62419015;01/01/2015;;www.electradis.cat;"
"R2-228;REPSOL GENERACIÓN ELÉCTRICA, S.L.U;C/ISABEL TORRES Nº 19;39011;SANTANDER;Cantabria;;P;B62733126;05/06/2014;30/06/2021;;Baja"
"R2-228;REPSOL GENERACIÓN ELÉCTRICA S.A.U.;C/ISABEL TORRES Nº 19;39011;SANTANDER;Cantabria;;P;A62733126;01/07/2021;;;"
"R2-235;AXPO IBERIA S.L.;PASEO DE LA CASTELLANA, 95, PLANTA 20;28046;MADRID;Madrid;900 101 311;N;B83160994;;;www.axpo.com;"
"R2-239;CEPSA GAS Y ELECTRICIDAD, S.A.U.;PASEO DE LA CASTELLANA 259-A;28046;MADRID;Madrid;900 201 200;N;A28142552;04/11/2002;;www.cepsa.com;"
"R2-241;ENERGYA VM GESTION DE ENERGÍA, S.L;C/ RIBERA DEL LOIRA, Nº 6;28042;MADRID;Madrid;900 30 61 30;N;B83393066;;;www.energyavm.es;"
"R2-242;FACTOR ENERGÍA ESPAÑA, S.A.;C/ ORENSE, 68, 9º;28020;MADRID;Madrid;900 64 90 99;P, SB;A62943600;;;www.ame-sa.net;"
"R2-243;REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;C/ ISABEL TORRES, Nº 19;39011;SANTANDER;Cantabria;Residencial: 900 118 866Pymes:900 102 272;P, SB, GC, TF, FL, PA, LG, HI;B39540760;;;https://www.repsolluzygas.com/;"
"R2-248;WIND TO MARKET S.A;PRÍNCIPE DE VERGARA 131, 3ª PLANTA;28002;MADRID;Madrid;900 823 923;P, SB, GC, TF, FL, PA, LG, HI;A84000884;;;www.aeqenergia.com;"
"R2-249;ENERGYA VM GENERACIÓN, S.L;C/ RIBERA DEL LOIRA, Nº 6;28042;MADRID;Madrid;;N;B84070036;;;www.energyavm.es;"
"R2-250;ENEL GREEN POWER ESPAÑA SL;AVDA. DE LA BORBOLLA, Nº5;41004;SEVILLA;Sevilla;;N;B61234613;;21/09/2017;www.enelgreenpower.com/es-ES/;Baja"
"R2-252;ENDESA GENERACION SA;C/ RIBERA DEL LOIRA, Nº 60;28042;MADRID;Madrid;;P;A82434697;;;www.endesa.com;"
"R2-255;ACCIONA GREEN ENERGY DEVELOPMENTS SL;AVDA. EUROPA, Nº 10 - PQUE.EMPR. LA MORALEJA;28108;ALCOBENDAS;Madrid;900 818 390;N, INT FR;B31737422;;;www.acciona-energia.com;"
"R2-260;ATEL ENERGÍA, S.A.;ABOGADOS BARTOLOME&BRIONES. EN C/. BALMES, 243, 7º;08006;BARCELONA;BARCELONA;;;A63952477;27/02/2006;21/01/2011;;Baja"
"R2-262;ENERGYA VM ENERGÍAS ESPECIALES, S.L.;C/ RIBERA DEL LOIRA, Nº 6 - CAMPO DE LAS NACIONES;28042;MADRID;Madrid;;N;B84317593;;;www.energyavm.es;"
"R2-263;MORGAN STANLEY CAPITAL GROUP ESPAÑA, S.L.;C/ PRINCIPE DE VERGARA, Nº 187;28002;MADRID;Madrid;;;B84710292;;18/03/2013;;Baja"
"R2-264;GDF SUEZ COMERCIALIZADORA, S.A.;C/ GOYA, Nº 24, 3ª PLANTA;28001;MADRID;Madrid;;;A82808007;;18/03/2013;;Baja"
"R2-265;GEOATLANTER SA;C/ AVENIDA DE EUROPA 34, EDIFICIO B, ESCALERA DERECHA, 3º IZQ;28023;MADRID;Madrid;900 818 852;N;B85021426;;;www.geoatlanter.com;"
"R2-267;FORTIA ENERGIA S.L.;C/ BAUSA 21, 2ª PLANTA;28033;MADRID;Madrid;900 367 842;N;B85228138;;;www.fortiaenergia.es;"
"R2-268;CONSTELLATION ENERGY COMMODITIES GROUP LIMITED, SUCURSAL EN ESPAÑA;URIA MENDEZ - C/. PRINCIPE DE VERGARA, Nº 187;08034;BARCELONA;Barcelona;;;N0060091F;;18/03/2013;;Baja"
"R2-269;GESTERNOVA, S.A.;Paseo de la Castellana 259 C Planta 16;28046;MADRID;Madrid;900 373 105;N;A84337849;06/05/2008;;www.gesternova.com;"
"R2-270;VIACAVA-INCOS DE ENERGÍA, S.A.;C/ SAN FRANCISCO Nº14, 3ª PLANTA;33003;Oviedo;Asturias;;;A74235227;;03/01/2013;;Baja"
"R2-274;RWE SUPPLY & TRADING IBERIA, S.L.U.;Avenida de la Industria, 4, Edificio 0, Esc2 - Planta 2ª;28108;ALCOBENDAS;Madrid;;N;B85290997;;08/01/2013;;Baja"
"R2-284;BASER COMERCIALIZADORA DE REFERENCIA, S.A.;PLAZA DEL FRESNO , 2;33007;OVIEDO;Asturias;900 902 947;N;A74251836;16/05/2011;;www.basercor.es;"
"R2-288;ESCANDINAVA DE ELECTRICIDAD, S.L.U;C/ SEPÚLVEDA 141, 4-2;08011;BARCELONA;Barcelona;900 373 681;P, SB, GC, TF, FL, PA, LG, HI;B85551273;30/06/2009;;www.companiadeenergia.es;"
"R2-290;RÉGSITI COMERCIALIZADORA REGULADA, S.L.U;C/ ISABEL TORRES, Nº19;39011;SANTANDER;Cantabria;900 101 005;P;B39702436;21/05/2009;;https://www.regsiti.com;"
"R2-291;CIDE HCENERGÍA S.A.U;C\ Poeta Joan Maragall, 1, 3º Sur (Edificio Eurocentro);28020;MADRID;Madrid;900 373 272;N;A74255282;11/05/2009;;www.chcenergia.es;"
"R2-292;ENERGIA XXI COMERCIALIZADORA DE REFERENCIA S.L.U.;C/ RIBERA DEL LOIRA, Nº 60;28042;MADRID;Madrid;800 760 333;N;B82846825;19/06/2009;;http://energiaxxi.com;"
"R2-293;ALPIQ AG;BAHNHOFQUAI, 12;4600;OLTEN (Suiza);Extranjero;900 802 076;INT FR;CHE105974401MWST;;13/12/2018;www.alpiq.ch;Baja"
"R2-294;ACCORD ENERGY LIMITED;Millstream, Maidenhead Road, Windsor;;Berkshire SL4 5GD (Reino Unido);Extranjero;;N;SN0067517C;;09/01/2013;;Baja"
"R2-295;BARCLAYS BANK PLC;5 The North Colonnade, Canary Wharf;;Londres EC3P 3AH (Reino Unido);Extranjero;;N;A0061418J;;19/03/2013;;Baja"
