ES1485;;"Bank of America Europe DAC, Sucursal en España";Entidad de crédito;"Cl Marqués de Villamagna, 3, 28020, Madrid";No;IEMLCMBX;"1485"
ES8832;5493001G6G8EOXRVRM56;"Bankinter Consumer Finance, E.F.C., S.A.";Otra institución;"Av de Bruselas, 12, 28108, Alcobendas (Madrid)";No;;"8832"
ES0128;VWMYAEQSTOPNV0SUGU82;"Bankinter, S.A.";Entidad de crédito;"Ps de la Castellana 29, 28046, Madrid";Sí;;"0128"
ES0138;549300P1CJZ4T6REN180;"Bankoa, S.A.";Entidad de crédito;"Av de la Libertad, 5, 20004, San Sebastián";Sí;;"0138"
ES1525;;"Banque Chaabi du Maroc, Sucursal en España";Entidad de crédito;"Av del Doctor Arce, 35, 28002, Madrid";No;FR41439;"1525"
ES8211;959800GV2C22F1NVJ309;"Bansabadell Financiación  E.F.C., S.A.";Otra institución;"Pz de Catalunya, 1, 08201, Sabadell (Barcelona)";No;;"8211"
ES0152;;"Barclays Bank Ireland PLC, Sucursal en España";Entidad de crédito;"Cl José Abascal, 51, 28003, Madrid";No;IEC36964;"0152"
ES1554;;"BFF BANK, S.P.A. SUCURSAL EN ESPAÑA";Entidad de crédito;"PASEO DE LA CASTELLANA, 81, 28046, Madrid";No;IT0000464876170;"1554"
ES8235;;"Bilbao Hipotecaria, S.A., E.F.C.";Otra institución;"Ps del Puerto 20, 48990, Neguri (Vizcaya)";No;;"8235"
ES1533;;"BMW Bank GmbH, Sucursal en España";Entidad de crédito;"Av de Burgos, 118, 28050, Madrid";Sí;DE03392;"1533"
ES6717;;"Bnext Electronic Issuer, E.D.E. S.L.";Otra institución;"Cl Zurbano, 71, 28010, Madrid";No;;"6717"
ES1532;;"BNP Paribas Factor, Sucursal en España";Otra institución;"Cl Emilio Vargas, 4, 28043, Madrid";No;FR18020;"1532"
ES0167;;"BNP Paribas Fortis, S.A., N.V., Sucursal en España";Entidad de crédito;"Cl Emilio Vargas, 4, 28043, Madrid";No;BE0403199702;"0167"
ES1492;;"BNP Paribas Lease Group S.A. Sucursal en España";Entidad de crédito;"Cl Estrella Denébola, 8, 28045, Madrid";No;FR30958;"1492"
ES0149;;"BNP Paribas S.A., Sucursal en España";Entidad de crédito;"Cl Emilio Vargas, 4, 28043, Madrid";Sí;FR30004;"0149"
ES0144;;"BNP Paribas Securities Services, Sucursal en España";Entidad de crédito;"Cl Emilio Vargas, 4, 28043, Madrid";Sí;FR41329;"0144"
ES1500;;"BPCE Lease, Sucursal en España";Entidad de crédito;"Ps Recoletos, 7-9, 28004, Madrid";No;FR11128;"1500"
ES1576;;"BUNQ B.V., SUCURSAL EN ESPAÑA";Entidad de crédito;"CALLE PRINCIPE DE VERGARA, 112, 28002, Madrid";No;NL159;"1576"
